13:59:15.794723 IP 10.0.1.11 > 10.0.1.12: ICMP echo request, id 4592, seq 1, length 64
13:59:15.795085 IP 10.0.1.12 > 10.0.1.11: ICMP echo reply, id 4592, seq 1, length 64
13:59:16.795082 IP 10.0.1.11 > 10.0.1.12: ICMP echo request, id 4592, seq 2, length 64
13:59:16.795461 IP 10.0.1.12 > 10.0.1.11: ICMP echo reply, id 4592, seq 2, length 64
13:59:17.795078 IP 10.0.1.11 > 10.0.1.12: ICMP echo request, id 4592, seq 3, length 64
13:59:17.795495 IP 10.0.1.12 > 10.0.1.11: ICMP echo reply, id 4592, seq 3, length 64
13:59:18.795070 IP 10.0.1.11 > 10.0.1.12: ICMP echo request, id 4592, seq 4, length 64
13:59:18.795488 IP 10.0.1.12 > 10.0.1.11: ICMP echo reply, id 4592, seq 4, length 64
13:59:19.795064 IP 10.0.1.11 > 10.0.1.12: ICMP echo request, id 4592, seq 5, length 64
13:59:19.795449 IP 10.0.1.12 > 10.0.1.11: ICMP echo reply, id 4592, seq 5, length 64

