Pro Inside global      Inside local       Outside local      Outside global
--- 200.0.0.1          10.0.1.1           ---                ---
udp 200.0.0.2:40317    10.0.1.2:40317     143.129.77.30:53   143.129.77.30:53
udp 200.0.0.2:44260    10.0.1.2:44260     143.129.77.30:53   143.129.77.30:53
udp 200.0.0.2:47554    10.0.1.2:47554     143.129.77.30:53   143.129.77.30:53
udp 200.0.0.2:48826    10.0.1.2:48826     143.129.77.30:53   143.129.77.30:53
udp 200.0.0.2:50626    10.0.1.2:50626     143.129.77.30:53   143.129.77.30:53
udp 200.0.0.2:57237    10.0.1.2:57237     143.129.77.30:53   143.129.77.30:53
udp 200.0.0.2:59337    10.0.1.2:59337     143.129.77.30:53   143.129.77.30:53
--- 200.0.0.2          10.0.1.2           ---                ---
--- 200.0.0.3          10.0.1.3           ---                ---

